종목,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
KODEX 코스닥150,1,위,-3.0,앞 절반,5,3.49,0.7,60.0,1.142,46.68,13.32,2.8,-2.45,2,3.7,-3.81,-3.81,3.2,1,0,6.6,아니오,2016-01-20,2020-01-20,판정 안 함
KODEX 코스닥150,1,위,-3.0,뒤 절반,6,-7.87,-1.31,33.33,0.689,59.22,-25.89,2.07,-3.0,4,2.82,-3.0,-3.0,2.66,0,4,3.83,아니오,2021-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-3.0,최근 10년,10,-5.5,-0.55,40.0,1.012,49.7,-9.7,2.85,-2.82,6,3.7,-3.81,-3.81,3.07,1,4,4.9,예,2017-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-3.0,최근 5년,5,-4.87,-0.97,40.0,0.689,59.22,-19.22,2.07,-3.0,3,2.82,-3.0,-3.0,2.82,0,3,3.2,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-4.0,전체,11,-8.89,-0.81,45.45,0.702,58.76,-13.31,2.5,-3.57,6,3.7,-4.32,-4.32,3.38,1,4,5.27,예,2016-01-20,2026-01-20,제외
KODEX 코스닥150,1,위,-4.0,앞 절반,5,3.3,0.66,60.0,1.1,47.63,12.37,2.8,-2.54,2,3.7,-4.0,-4.0,3.27,0,1,6.6,아니오,2016-01-20,2020-01-20,판정 안 함
KODEX 코스닥150,1,위,-4.0,뒤 절반,6,-12.19,-2.03,33.33,0.506,66.39,-33.06,2.07,-4.08,4,2.82,-4.32,-4.32,3.21,1,3,4.17,아니오,2021-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-4.0,최근 10년,10,-10.01,-1.0,40.0,0.799,55.59,-15.59,2.85,-3.57,6,3.7,-4.32,-4.32,3.49,1,4,5.1,예,2017-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-4.0,최근 5년,5,-8.19,-1.64,40.0,0.503,66.53,-26.53,2.07,-4.11,3,2.82,-4.32,-4.32,3.42,1,2,3.6,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-5.0,전체,11,-13.57,-1.23,45.45,0.576,63.45,-18.0,2.5,-4.35,6,3.7,-5.0,-5.0,3.83,0,5,5.82,예,2016-01-20,2026-01-20,제외
KODEX 코스닥150,1,위,-5.0,앞 절반,5,2.3,0.46,60.0,0.919,52.11,7.89,2.8,-3.04,2,3.7,-5.0,-5.0,3.63,0,1,7.0,아니오,2016-01-20,2020-01-20,판정 안 함
KODEX 코스닥150,1,위,-5.0,뒤 절반,6,-15.87,-2.64,33.33,0.413,70.76,-37.43,2.07,-5.0,4,2.82,-5.0,-5.0,3.68,0,4,4.83,아니오,2021-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-5.0,최근 10년,10,-14.69,-1.47,40.0,0.656,60.4,-20.4,2.85,-4.35,6,3.7,-5.0,-5.0,3.95,0,5,5.7,예,2017-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-5.0,최근 5년,5,-10.87,-2.17,40.0,0.413,70.76,-30.76,2.07,-5.0,3,2.82,-5.0,-5.0,3.91,0,3,4.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-6.0,전체,11,-15.96,-1.45,45.45,0.527,65.47,-20.02,2.5,-4.75,6,3.7,-6.0,-6.0,4.09,0,3,5.91,예,2016-01-20,2026-01-20,제외
KODEX 코스닥150,1,위,-6.0,앞 절반,5,1.3,0.26,60.0,0.789,55.89,4.11,2.8,-3.54,2,3.7,-6.0,-6.0,4.02,0,1,7.2,아니오,2016-01-20,2020-01-20,판정 안 함
KODEX 코스닥150,1,위,-6.0,뒤 절반,6,-17.27,-2.88,33.33,0.386,72.14,-38.81,2.07,-5.35,4,2.82,-6.0,-6.0,3.9,0,2,4.83,아니오,2021-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-6.0,최근 10년,10,-17.09,-1.71,40.0,0.6,62.49,-22.49,2.85,-4.75,6,3.7,-6.0,-6.0,4.22,0,3,5.8,예,2017-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-6.0,최근 5년,5,-12.76,-2.55,40.0,0.367,73.16,-33.16,2.07,-5.63,3,2.82,-6.0,-6.0,4.27,0,2,4.4,아니오,2022-01-20,2026-01-20,판정 안 함
KODEX 코스닥150,1,위,-7.0,전체,11,14.96,1.36,54.55,1.354,42.48,12.07,6.48,-4.79,5,26.39,-7.0,-7.0,9.22,0,1,6.64,예,2016-01-20,2026-01-20,후보
