종목,조합,월,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
DIA,만기→말일,9,아래,-5.0,2018-09-21,267.12,2018-09-28,5,264.4,1.02,0.16,기한청산
DIA,만기→말일,9,아래,-5.0,2019-09-20,269.25,2019-09-30,6,269.18,0.03,-0.51,기한청산
DIA,만기→말일,9,아래,-5.0,2020-09-18,276.52,2020-09-30,8,277.5,-0.35,-1.32,기한청산
DIA,만기→말일,9,아래,-5.0,2021-09-17,345.64,2021-09-30,9,338.29,2.13,-1.41,기한청산
DIA,만기→말일,9,아래,-5.0,2022-09-16,308.05,2022-09-30,10,287.3,6.74,-0.72,기한청산
DIA,만기→말일,9,아래,-5.0,2023-09-15,346.14,2023-09-29,10,334.95,3.23,-0.44,기한청산
DIA,만기→말일,9,아래,-5.0,2024-09-20,420.57,2024-09-30,6,423.12,-0.61,-1.34,기한청산
DIA,만기→말일,9,아래,-5.0,2025-09-19,462.94,2025-09-30,7,463.74,-0.17,-0.88,기한청산
DIA,만기→말일,9,아래,무손절,1998-09-18,78.8125,1998-09-30,8,78.1875,0.79,-3.89,기한청산
DIA,만기→말일,9,아래,무손절,1999-09-17,108.375,1999-09-30,9,103.625,4.38,-0.09,기한청산
DIA,만기→말일,9,아래,무손절,2000-09-15,109.0,2000-09-29,10,106.625,2.18,-0.43,기한청산
DIA,만기→말일,9,아래,무손절,2001-09-21,82.8,2001-09-28,5,88.35,-6.7,-7.17,기한청산
DIA,만기→말일,9,아래,무손절,2002-09-20,79.67,2002-09-30,6,76.0,4.61,-0.75,기한청산
DIA,만기→말일,9,아래,무손절,2003-09-19,96.47,2003-09-30,7,93.13,3.46,0.39,기한청산
DIA,만기→말일,9,아래,무손절,2004-09-17,103.01,2004-09-30,9,100.87,2.08,0.13,기한청산
DIA,만기→말일,9,아래,무손절,2005-09-16,106.23,2005-09-30,10,105.75,0.45,0.08,기한청산
DIA,만기→말일,9,아래,무손절,2006-09-15,115.59,2006-09-29,10,116.74,-0.99,-1.51,기한청산
DIA,만기→말일,9,아래,무손절,2007-09-21,137.9,2007-09-28,5,138.91,-0.73,-0.89,기한청산
DIA,만기→말일,9,아래,무손절,2008-09-19,113.57,2008-09-30,7,108.36,4.59,-0.36,기한청산
DIA,만기→말일,9,아래,무손절,2009-09-18,98.11,2009-09-30,8,97.09,1.04,-1.07,기한청산
DIA,만기→말일,9,아래,무손절,2010-09-17,106.07,2010-09-30,9,107.91,-1.73,-3.25,기한청산
DIA,만기→말일,9,아래,무손절,2011-09-16,114.86,2011-09-30,10,108.93,5.16,-0.35,기한청산
DIA,만기→말일,9,아래,무손절,2012-09-21,135.47,2012-09-28,5,134.05,1.05,-0.32,기한청산
DIA,만기→말일,9,아래,무손절,2013-09-20,154.3,2013-09-30,6,151.0,2.14,-0.01,기한청산
DIA,만기→말일,9,아래,무손절,2014-09-19,172.45,2014-09-30,7,170.07,1.38,0.04,기한청산
DIA,만기→말일,9,아래,무손절,2015-09-18,163.54,2015-09-30,8,162.62,0.56,-1.24,기한청산
DIA,만기→말일,9,아래,무손절,2016-09-16,180.97,2016-09-30,10,182.78,-1.0,-1.82,기한청산
DIA,만기→말일,9,아래,무손절,2017-09-15,222.45,2017-09-29,10,223.82,-0.62,-0.68,기한청산
DIA,만기→말일,9,아래,무손절,2018-09-21,267.12,2018-09-28,5,264.4,1.02,0.16,기한청산
DIA,만기→말일,9,아래,무손절,2019-09-20,269.25,2019-09-30,6,269.18,0.03,-0.51,기한청산
DIA,만기→말일,9,아래,무손절,2020-09-18,276.52,2020-09-30,8,277.5,-0.35,-1.32,기한청산
DIA,만기→말일,9,아래,무손절,2021-09-17,345.64,2021-09-30,9,338.29,2.13,-1.41,기한청산
DIA,만기→말일,9,아래,무손절,2022-09-16,308.05,2022-09-30,10,287.3,6.74,-0.72,기한청산
DIA,만기→말일,9,아래,무손절,2023-09-15,346.14,2023-09-29,10,334.95,3.23,-0.44,기한청산
DIA,만기→말일,9,아래,무손절,2024-09-20,420.57,2024-09-30,6,423.12,-0.61,-1.34,기한청산
DIA,만기→말일,9,아래,무손절,2025-09-19,462.94,2025-09-30,7,463.74,-0.17,-0.88,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2016-09-13,9900.0,2016-09-30,10,10085.0,-1.87,-4.04,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2017-09-15,10805.0,2017-09-29,10,10805.0,-0.0,-2.45,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2018-09-21,14240.0,2018-09-28,2,14150.0,0.63,-1.83,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2019-09-20,9510.0,2019-09-30,6,9010.0,5.26,-0.0,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2020-09-18,13935.0,2020-09-29,7,13220.0,5.13,-0.97,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2021-09-17,15220.0,2021-09-30,6,14665.0,3.65,-0.62,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2022-09-16,10740.0,2022-09-30,10,9535.0,11.22,-0.56,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2023-09-15,13935.0,2023-09-27,8,13210.0,5.2,-0.11,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2024-09-20,12600.0,2024-09-30,6,12865.0,-2.1,-4.56,기한청산
KODEX 코스닥150,만기→말일,9,아래,-5.0,2025-09-19,14300.0,2025-09-30,7,13950.0,2.45,-2.62,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2016-09-13,9900.0,2016-09-30,10,10085.0,-1.87,-4.04,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2017-09-15,10805.0,2017-09-29,10,10805.0,-0.0,-2.45,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2018-09-21,14240.0,2018-09-28,2,14150.0,0.63,-1.83,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2019-09-20,9510.0,2019-09-30,6,9010.0,5.26,-0.0,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2020-09-18,13935.0,2020-09-29,7,13220.0,5.13,-0.97,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2021-09-17,15220.0,2021-09-30,6,14665.0,3.65,-0.62,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2022-09-16,10740.0,2022-09-30,10,9535.0,11.22,-0.56,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2023-09-15,13935.0,2023-09-27,8,13210.0,5.2,-0.11,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2024-09-20,12600.0,2024-09-30,6,12865.0,-2.1,-4.56,기한청산
KODEX 코스닥150,만기→말일,9,아래,무손절,2025-09-19,14300.0,2025-09-30,7,13950.0,2.45,-2.62,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2010-09-17,936.77,2010-09-30,6,963.37,-2.84,-2.84,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2011-09-16,940.06,2011-09-30,10,916.17,2.54,-2.26,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2012-09-21,942.08,2012-09-28,5,925.14,1.8,0.14,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2013-09-17,897.78,2013-09-30,6,917.72,-2.22,-2.57,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2014-09-19,963.17,2014-09-30,7,954.34,0.92,0.17,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2015-09-18,1110.78,2015-09-30,6,1068.35,3.82,0.38,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2016-09-13,994.25,2016-09-30,10,1010.18,-1.6,-3.82,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2017-09-15,1081.83,2017-09-29,10,1074.79,0.65,-1.23,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2018-09-21,1419.03,2018-09-28,2,1411.73,0.51,-0.67,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2019-09-20,946.16,2019-09-30,6,894.36,5.47,0.81,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2020-09-18,1387.42,2020-09-29,7,1310.49,5.54,2.37,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2021-09-17,1536.65,2021-09-30,6,1475.06,4.01,0.38,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2022-09-16,1080.84,2022-09-30,10,956.48,11.51,1.21,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2023-09-15,1398.35,2023-09-27,8,1321.64,5.49,0.79,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2024-09-20,1265.07,2024-09-30,6,1288.34,-1.84,-4.53,기한청산
코스닥150 지수,만기→말일,9,아래,손절불가,2025-09-19,1445.48,2025-09-30,7,1407.18,2.65,-2.14,기한청산
